beach_id,grad,udaljenost_km
800,Dubrovnik,3.38
801,Dubrovnik,7.13
802,Dubrovnik,8.23
803,Dubrovnik,2.89
804,Dubrovnik,1.86
805,Dubrovnik,5.68
806,Dubrovnik,1.16
807,Dubrovnik,11.86
808,Dubrovnik,2.11
809,Dubrovnik,6.25
810,Dubrovnik,16.98
811,Dubrovnik,2.93
812,Dubrovnik,6.53
813,Blato,3.31
814,Blato,4.69
815,Blato,3.73
816,Korčula,3.41
817,Korčula,1.23
818,Korčula,1.82
819,Korčula,1.3
820,Korčula,1.26
821,Korčula,8.4
822,Korčula,0.66
823,Korčula,0.91
824,Lumbarda,1.26
825,Lumbarda,1.48
826,Lumbarda,0.68
827,Smokvica,4.04
828,Vela Luka,1.62
829,Vela Luka,0.45
830,Vela Luka,8.4
831,Orebić,5.87
832,Župa dubrovačka,1.02
833,Lastovo,5.11
834,Lastovo,5.38
835,Lastovo,1.65
836,Lastovo,2.67
837,Dubrovnik,3.37
838,Dubrovnik,3.59
839,Dubrovnik,12.06
840,Dubrovnik,13.45
841,Orebić,15.03
842,Župa dubrovačka,0.33
843,Župa dubrovačka,0.49
844,Mljet,17.4
845,Mljet,16.43
846,Mljet,4.17
847,Mljet,10.21
848,Mljet,14.41
849,Mljet,8.64
850,Mljet,16.59
851,Mljet,16.78
852,Konavle,6.9
853,Opuzen,7.96
854,Dubrovnik,9.14
855,Orebić,3.06
856,Orebić,2.53
857,Orebić,1.44
858,Janjina,1.72
859,Orebić,18.32
860,Ston,2.79
861,Ston,5.48
862,Župa dubrovačka,2.01
863,Ploče,2.82
864,Ploče,2.82
865,Ston,2.93
866,Konavle,14.88
867,Dubrovačko primorje,1.16
868,Dubrovačko primorje,3.12
869,Dubrovačko primorje,2.14
870,Slivno,5.6
871,Slivno,3.05
872,Slivno,2.48
873,Slivno,3.78
874,Slivno,2.53
875,Župa dubrovačka,0.7
876,Janjina,2.63
877,Ston,0.57
878,Dubrovnik,16.46
879,Dubrovnik,21.61
880,Trpanj,0.74
881,Trpanj,1.04
882,Orebić,17.08
883,Orebić,8.05
884,Ston,20.63
