beach_id,marina_id,udaljenost_km
98,node/4262750427,8.07
98,node/12409171546,4.91
98,node/13507759987,0.82
99,node/1394720950,5.71
99,node/1599814456,0.38
99,node/10280266203,3.43
99,node/11833156908,8.3
100,node/1394720950,5.45
100,node/1599814456,0.43
100,node/10280266203,3.68
100,node/11833156908,8.03
101,node/1394720950,5.31
101,node/1599814456,0.49
101,node/10280266203,3.81
101,node/11833156908,7.86
102,node/3670462062,7.29
103,node/3670462062,7.39
104,node/11469851119,9.4
105,node/11469851119,9.73
106,node/11469851119,9.77
107,node/431088510,5.22
107,node/497549320,1.62
107,node/517872826,2.76
107,node/517904544,3.25
107,node/1449508274,2.24
107,node/1860020712,5.45
107,node/4262750427,3.81
107,node/12409171546,9.1
107,node/13507759987,4.68
108,node/431088510,5.41
108,node/497549320,1.49
108,node/517872826,3.03
108,node/517904544,3.47
108,node/1449508274,2.53
108,node/1860020712,5.64
108,node/4262750427,3.87
108,node/12409171546,9.18
108,node/13507759987,4.91
109,node/1394720950,4.24
109,node/1599814456,1.58
109,node/10280266203,4.91
109,node/11833156908,6.73
110,node/1394720950,3.48
110,node/1599814456,2.31
110,node/10280266203,5.64
110,node/11833156908,6.05
111,node/1394720950,3.34
111,node/1599814456,2.48
111,node/2008968277,9.93
111,node/10280266203,5.81
111,node/11833156908,5.84
112,node/1394720950,4.7
112,node/1599814456,1.1
112,node/10280266203,4.43
112,node/11833156908,7.22
113,node/1394720950,4.5
113,node/1599814456,1.3
113,node/10280266203,4.63
113,node/11833156908,7.01
114,node/431088510,7.97
114,node/497549320,1.72
114,node/517872826,5.22
114,node/517904544,5.95
114,node/1449508274,4.7
114,node/1860020712,8.16
114,node/4262750427,0.95
114,node/13507759987,7.21
115,node/431088510,7.8
115,node/497549320,1.28
115,node/517872826,5.1
115,node/517904544,5.78
115,node/1449508274,4.57
115,node/1860020712,8.0
115,node/4262750427,1.45
115,node/13507759987,7.1
116,node/431088510,7.65
116,node/497549320,0.83
116,node/517872826,5.06
116,node/517904544,5.66
116,node/1449508274,4.53
116,node/1860020712,7.87
116,node/4262750427,2.17
116,node/13507759987,7.04
117,node/418342927,1.39
118,node/418342927,0.89
119,node/418342927,0.65
124,node/431088510,6.94
124,node/517872826,9.67
124,node/517904544,8.82
124,node/579792962,6.54
124,node/579794631,3.59
124,node/673411579,3.56
124,node/1860020712,6.86
124,node/2951332985,6.83
124,node/12409171546,2.53
124,node/13507759987,7.99
125,node/431088510,6.92
